Codigo,Nome,Grupo_Sinal,Cluster_ID,Membros_Cluster,N_Lags_x,LB_Pvalor,Pooled_Ridge_RMSE,Pooled_Ridge_MAE,Pooled_Ridge_MAPE,Pooled_Ridge_Params,Pooled_SVR_RMSE,Pooled_SVR_MAE,Pooled_SVR_MAPE,Pooled_SVR_Params,Pooled_MLP_RMSE,Pooled_MLP_MAE,Pooled_MLP_MAPE,Pooled_MLP_Params,Ind_Melhor_Modelo,Ind_RMSE,Ind_MAE,Ind_MAPE,N_Treino,N_Holdout,N_Lags_y,Pooled_Melhor_Modelo,Pooled_Melhor_RMSE,Delta_RMSE_pct
501140107,Outros Recursos não Vinculados - CONSERVATÓRIO DE MÚSICA,apenas_positivos,0,22,1,0.0001,37790.76,37692.01,4909.3644,alpha=1.0,18094.47,17293.5,2230.7322,"{'C': 1, 'epsilon': 0.1, 'kernel': 'rbf'}",52184.67,49626.07,6388.0809,"{'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.01}",LR,28449.484780733263,27542.453705966785,3558.4366769450776,24,5,1,SVR,18094.47,-36.4
501651001,Outros Recursos não Vinculados - FENASEG,apenas_positivos,1,54,6,0.0487,346565.92,343690.11,393.4325,alpha=1.0,463886.15,461533.43,520.8511,"{'C': 1, 'epsilon': 1.0, 'kernel': 'linear'}",365816.01,360053.56,420.4969,"{'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}",ARIMA,51977.8248160387,48123.67343784699,62.10835273280452,22,5,6,Ridge,346565.92,566.76
501999001,Outros Recursos não Vinculados - TAXA INSCRIÇÃO SELEÇÃO SIMPLIFICADA OU CONCURSO,positivos_e_negativos,0,22,4,0.0419,1194384.93,1116525.71,106508.3123,alpha=1.0,1757205.9,1720202.2,140199.3235,"{'C': 10, 'epsilon': 1.0, 'kernel': 'linear'}",1589354.89,1509066.52,137852.9813,"{'alpha': 0.001, 'hidden_layer_sizes': (50, 50), 'learning_rate_init': 0.01}",ARIMA,2158969.001381992,2130883.03474691,166025.98028227212,14,3,4,Ridge,1194384.93,-44.68
550000000,Transferência do Salário-Educação,apenas_positivos,2,21,1,0.0015,12726999.79,9801009.86,35.6601,alpha=1.0,12973629.79,10128469.92,36.7182,"{'C': 0.1, 'epsilon': 0.1, 'kernel': 'rbf'}",12216861.03,9534408.89,35.3349,"{'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.01}",ARIMA,10033745.281163044,8341620.250137922,54.80632496984399,23,5,1,MLP,12216861.03,21.76
553004063,Convênio PNATE - PROGRAMA DE APOIO AO TRANSPORTE E - RESOLUÇÃO/CD/FNDE NO. 12/2011,apenas_positivos,1,54,5,0.0352,141119.65,115558.95,164.304,alpha=1.0,170028.04,145984.68,193.7267,"{'C': 0.1, 'epsilon': 1.0, 'kernel': 'rbf'}",137851.61,117906.32,158.4531,"{'alpha': 0.01, 'hidden_layer_sizes': (50, 50), 'learning_rate_init': 0.001}",SVR,86318.90346158389,69275.90508563662,96.265376363906,18,4,5,MLP,137851.61,59.7
569004491,"Convênio PROGRAMA NACIONAL DE FOMENTO ÀS ESCOLAS D - RESOLUÇÃO Nº 7, DE 03/11/2016",apenas_positivos,1,54,1,0.007,923621.18,742119.81,49.1482,alpha=1.0,836966.7,635593.07,40.4704,"{'C': 0.1, 'epsilon': 1.0, 'kernel': 'rbf'}",898471.18,714899.21,47.0425,"{'alpha': 0.01, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.001}",MLP,925803.011105226,744705.0547594912,49.35781689230826,23,5,1,SVR,836966.7,-9.6
569005117,Convênio PROGRAMA EMERGENCIAL DE EDUCAÇÃO CONECTAD - 00025320220001-006905,apenas_positivos,0,22,4,0.0326,4232320.21,3602719.09,109.8309,alpha=1.0,6848294.31,6609522.3,179.7228,"{'C': 10, 'epsilon': 1.0, 'kernel': 'linear'}",4669520.28,3543200.05,108.6453,"{'alpha': 0.001, 'hidden_layer_sizes': (50, 50), 'learning_rate_init': 0.01}",SVR,5302861.35174023,4509663.631357599,104.58761240878675,16,3,4,Ridge,4232320.21,-20.19
600004628,Convênio 00.530.493/0001-71 - PORTARIA Nº 1.792/2012,apenas_positivos,1,54,1,0.0173,62660.99,62657.83,347.0891,alpha=1.0,78994.62,78929.6,436.846,"{'C': 0.1, 'epsilon': 1.0, 'kernel': 'rbf'}",65717.57,65534.31,362.4678,"{'alpha': 0.01, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.001}",SVR,1764.3893470536718,1651.9335496755768,9.169952289085264,23,5,1,Ridge,62660.99,3451.43
605000000,Assistência financeira da União destinada à complementação ao pagamento dos pisos salariais para profissionais da enfermagem,apenas_positivos,1,54,5,0.0332,11836195.22,10119247.01,31.2638,alpha=1.0,20440022.64,19424489.32,57.5858,"{'C': 0.1, 'epsilon': 1.0, 'kernel': 'rbf'}",12546498.12,11137317.3,34.01,"{'alpha': 0.01, 'hidden_layer_sizes': (50, 50), 'learning_rate_init': 0.001}",SVR,6428986.190527687,5745034.404914752,16.27831480018922,17,4,5,Ridge,11836195.22,84.11
660002527,Convênio BLOCO DE FINANCIAMENTO  DA PROTEÇÃO SOCIA - BLOCO DE FINANCIAMENTO - PSEMC,apenas_positivos,1,54,4,0.0059,272751.43,246480.78,4420444.4512,alpha=1.0,305493.15,266663.91,4884422.1898,"{'C': 1, 'epsilon': 1.0, 'kernel': 'linear'}",289094.6,252944.38,4713538.9465,"{'alpha': 0.01, 'hidden_layer_sizes': (50, 50), 'learning_rate_init': 0.001}",LR,278422.47271192406,257591.68598898643,4851522.12957296,19,4,4,Ridge,272751.43,-2.04
