timestamp,Codigo,Nome,Grupo_Sinal,N_Total,N_Treino,N_Holdout,N_Lags,Modelo,Parametros,RMSE,MAE,MAPE,Selecionado,Ruido_Branco,LB_Pvalor,Lags_Sig_PACF,Metodo_Lags
20260525_121025,500000000,Recursos não vinculados de Impostos,apenas_positivos,30,24,6,0,,,,,,False,True,0.2119498777600414,[],nenhum
20260525_121025,500410000,Recursos não vinculados de Impostos - ISS,apenas_positivos,15,12,3,0,,,,,,False,True,0.5749772556074313,[],nenhum
20260525_121025,500710000,Recursos não vinculados de Impostos - TRANSF FES,apenas_positivos,30,24,6,0,,,,,,False,True,0.5934399001304593,[],nenhum
20260525_121025,501000000,Outros Recursos não Vinculados,apenas_positivos,30,24,6,0,,,,,,False,True,0.1141597580305967,[],nenhum
20260525_121025,501120101,Outros Recursos não Vinculados - PECONSIG,apenas_positivos,29,24,5,0,,,,,,False,True,0.396353432138305,[],nenhum
20260525_121025,501130301,Outros Recursos não Vinculados - DEFENSORIA,positivos_e_negativos,12,9,3,0,,,,,,False,True,0.0919945677995115,[],nenhum
20260525_121025,501140107,Outros Recursos não Vinculados - CONSERVATÓRIO DE MÚSICA,apenas_positivos,29,24,5,1,ARIMA,"(1,1,0)",41544.52565567605,40423.47254791927,5124.806988003496,False,False,6.930100360605006e-05,[1],pacf
20260525_121025,501140107,Outros Recursos não Vinculados - CONSERVATÓRIO DE MÚSICA,apenas_positivos,29,24,5,1,LR,Ridge(alpha=1.0),28449.484780733263,27542.453705966785,3558.4366769450776,True,False,6.930100360605006e-05,[1],pacf
20260525_121025,501140107,Outros Recursos não Vinculados - CONSERVATÓRIO DE MÚSICA,apenas_positivos,29,24,5,1,SVR,"{'C': 0.1, 'epsilon': 1, 'kernel': 'linear'}",63249.89609717172,63156.838684342685,8219.124129267939,False,False,6.930100360605006e-05,[1],pacf
20260525_121025,501140107,Outros Recursos não Vinculados - CONSERVATÓRIO DE MÚSICA,apenas_positivos,29,24,5,1,MLP,"{'hidden_layer_sizes': (50,), 'alpha': 0.01, 'learning_rate_init': 0.001}",34170.65581684275,30546.90693530614,3817.511680759297,False,False,6.930100360605006e-05,[1],pacf
20260525_121025,501150003,Outros Recursos não Vinculados - FEEF,apenas_positivos,20,16,4,0,,,,,,False,True,0.1502792018149552,[],nenhum
20260525_121025,501150009,Outros Recursos não Vinculados  - TESOURO - diversos,apenas_positivos,18,15,3,0,,,,,,False,True,0.9560673215972012,[],nenhum
20260525_121025,501310301,Outros Recursos não Vinculados - HORTO DOIS IRMÃOS,apenas_positivos,24,20,4,0,,,,,,False,True,0.3263347492318774,[],nenhum
20260525_121025,501420341,Outros Recursos não Vinculados - PECONSIG,apenas_positivos,30,24,6,0,,,,,,False,True,0.8008166666094226,[],nenhum
20260525_121025,501544000,Recursos de Precatórios do FUNDEF não vinculados,apenas_positivos,17,14,3,0,,,,,,False,True,0.1488310138141998,[],nenhum
20260525_121025,501560801,Outros Recursos não Vinculados - ARENA PERNAMBUCO,apenas_positivos,28,23,5,0,,,,,,False,True,0.2500979535338474,[],nenhum
20260525_121025,501560802,Outros Recursos não Vinculados - CAIS DO SERTÃO,apenas_positivos,16,13,3,0,,,,,,False,True,0.2752122042755106,[],nenhum
20260525_121025,501610801,Outros Recursos não Vinculados - MULTAS CPRH,apenas_positivos,23,19,4,0,,,,,,False,True,0.5843660952977894,[],nenhum
20260525_121025,501651001,Outros Recursos não Vinculados - FENASEG,apenas_positivos,27,22,5,6,ARIMA,"(0,2,2)",51977.8248160387,48123.67343784699,62.10835273280452,True,False,0.0487442390304989,[],fallback_heuristico
20260525_121025,501651001,Outros Recursos não Vinculados - FENASEG,apenas_positivos,27,22,5,6,LR,Ridge(alpha=1.0),294167.9052169701,280102.4908211822,346.184764179178,False,False,0.0487442390304989,[],fallback_heuristico
20260525_121025,501651001,Outros Recursos não Vinculados - FENASEG,apenas_positivos,27,22,5,6,SVR,"{'C': 0.1, 'epsilon': 0.01, 'kernel': 'rbf'}",58528.9608417572,43120.690215363546,67.81507260860336,False,False,0.0487442390304989,[],fallback_heuristico
20260525_121025,501651001,Outros Recursos não Vinculados - FENASEG,apenas_positivos,27,22,5,6,MLP,"{'hidden_layer_sizes': (50,), 'alpha': 0.001, 'learning_rate_init': 0.001}",108037.1088655528,102752.2085717695,127.28014406381772,False,False,0.0487442390304989,[],fallback_heuristico
20260525_121025,501999001,Outros Recursos não Vinculados - TAXA INSCRIÇÃO SELEÇÃO SIMPLIFICADA OU CONCURSO,positivos_e_negativos,17,14,3,4,ARIMA,"(0,2,1)",2158969.001381992,2130883.03474691,166025.98028227212,False,False,0.0419364501769372,[],fallback_heuristico
20260525_121025,540000000,Transferências do FUNDEB - Impostos e Transferências de Impostos,apenas_positivos,30,24,6,0,,,,,,False,True,0.5228974896637933,[],nenhum
20260525_121025,544000000,Recursos de Precatórios do FUNDEF,apenas_positivos,19,16,3,0,,,,,,False,True,0.2438596487021405,[],nenhum
20260525_121025,550000000,Transferência do Salário-Educação,apenas_positivos,28,23,5,1,ARIMA,"(2,2,1)",10033745.281163044,8341620.250137922,54.80632496984399,True,False,0.0015389901052594,[1],pacf
20260525_121025,550000000,Transferência do Salário-Educação,apenas_positivos,28,23,5,1,LR,Ridge(alpha=1.0),11172576.162901448,9729994.236171251,46.35614820205511,False,False,0.0015389901052594,[1],pacf
20260525_121025,550000000,Transferência do Salário-Educação,apenas_positivos,28,23,5,1,SVR,"{'C': 100, 'epsilon': 0.1, 'kernel': 'linear'}",11633009.876414424,10131816.16651133,48.34466805506129,False,False,0.0015389901052594,[1],pacf
20260525_121025,550000000,Transferência do Salário-Educação,apenas_positivos,28,23,5,1,MLP,"{'hidden_layer_sizes': (100,), 'alpha': 0.01, 'learning_rate_init': 0.001}",11244700.00946992,9743015.202243667,46.60228712874499,False,False,0.0015389901052594,[1],pacf
20260525_121025,552004762,Convênio PNAE - CARTÃO - RESOLUÇÃO Nº 04 DE 03/04/2015,apenas_positivos,26,21,5,0,,,,,,False,True,0.1550003921883981,[],nenhum
20260525_121025,553004063,Convênio PNATE - PROGRAMA DE APOIO AO TRANSPORTE E - RESOLUÇÃO/CD/FNDE NO. 12/2011,apenas_positivos,22,18,4,5,ARIMA,"(0,2,1)",162586.03737851253,138399.5299406827,70.70655386208193,False,False,0.0352036932355024,[],fallback_heuristico
20260525_121025,553004063,Convênio PNATE - PROGRAMA DE APOIO AO TRANSPORTE E - RESOLUÇÃO/CD/FNDE NO. 12/2011,apenas_positivos,22,18,4,5,LR,Ridge(alpha=1.0),96819.53365320015,74766.5814620821,61.339948947462894,False,False,0.0352036932355024,[],fallback_heuristico
