Codigo,Nome,Modelo,MAPE_holdout,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06
501140107,Outros Recursos não Vinculados - CONSERVATÓRIO DE MÚSICA,LGBM_global,1742.91,14503.48,17398.03,8127.4,32525.35,38841.85,121786.23,78298.41,63945.92,68119.35,26231.62,29748.89,28700.09
501651001,Outros Recursos não Vinculados - FENASEG,ARIMA,62.11,75872.49,74265.39,72658.29,71051.19,69444.09,67836.99,66229.89,64622.79,63015.69,61408.59,59801.49,58194.39
501999001,Outros Recursos não Vinculados - TAXA INSCRIÇÃO SELEÇÃO SIMPLIFICADA OU CONCURSO,LGBM_global,73648.33,559301.3,1718631.11,1021384.69,1335004.87,2653905.35,3711054.89,2298975.68,765152.31,482024.16,904669.94,1129209.45,950029.71
550000000,Transferência do Salário-Educação,ARIMA,54.81,23083167.57,24480271.44,31583647.71,33749860.55,31210919.11,30541815.14,33212662.16,35557370.4,35776703.3,35674620.47,36795318.42,38412680.84
553004063,Convênio PNATE - PROGRAMA DE APOIO AO TRANSPORTE E - RESOLUÇÃO/CD/FNDE NO. 12/2011,LR,113.43,228892.91,207454.68,217120.69,227241.96,223314.43,226652.73,228526.6,227960.72,228928.59,229288.02,229256.64,229516.41
569004491,"Convênio PROGRAMA NACIONAL DE FOMENTO ÀS ESCOLAS D - RESOLUÇÃO Nº 7, DE 03/11/2016",LGBM_global,48.83,970505.16,575735.79,475378.04,450976.53,471014.79,604116.26,411056.71,362531.17,347137.59,435188.39,399993.49,459382.38
569005117,Convênio PROGRAMA EMERGENCIAL DE EDUCAÇÃO CONECTAD - 00025320220001-006905,LR,65.7,8012156.64,8447894.33,8076747.12,7959456.65,7836254.59,7839145.19,7843453.2,7860765.61,7865555.47,7867944.66,7866823.2,7866123.18
600004628,Convênio 00.530.493/0001-71 - PORTARIA Nº 1.792/2012,LR,21.16,18162.13,18856.83,18808.4,18945.91,19030.32,19009.13,19149.73,19225.48,19251.57,19306.88,19344.06,19382.72
605000000,Assistência financeira da União destinada à complementação ao pagamento dos pisos salariais para profissionais da enfermagem,SVR,14.49,36362686.13,36431941.56,36603677.56,36560537.96,36554821.16,36554187.12,36555487.94,36555402.51,36555355.13,36555339.88,36555347.07,36555347.66
660002527,Convênio BLOCO DE FINANCIAMENTO  DA PROTEÇÃO SOCIA - BLOCO DE FINANCIAMENTO - PSEMC,LR,4851522.13,586924.65,329402.28,376265.7,392909.39,239802.81,373782.83,305335.78,353559.94,361543.02,326729.67,353489.37,326080.29
700005391,Convênio IMPLEMENTAÇÃO DE CENTRAL DE ATENDIMENTO A -,ARIMA,12.75,17620.07,24294.25,24294.25,24294.25,24294.25,24294.25,24294.25,24294.25,24294.25,24294.25,24294.25,24294.25
711080000,Demais Transferências Obrigatórias não Decorrentes de Repartições de Receitas - LEI FEDERAL Nº 9.615/1998 (LEI PELÉ),LGBM_global,135.1,533714.73,472467.94,437410.58,610883.35,739296.7,1351932.84,419013.76,674105.47,448931.09,573105.45,467823.61,543132.9
753000000,Recursos Provenientes de Taxas e Contribuições e Preços Públicos,MLP,30.51,62135615.61,66081280.53,66861868.73,67039691.36,67080200.42,67089428.62,67091530.86,67092009.76,67092118.86,67092143.71,67092149.38,67092150.67
753390601,"Recursos Provenientes de Taxas, Contribuições e Preços Públicos - BOMBEIROS",MLP,7.9,23921399.96,24491111.47,24409019.69,24420848.59,24419144.12,24419389.73,24419354.34,24419359.44,24419358.7,24419358.81,24419358.79,24419358.79
759130401,Recursos vinculados a fundos - FEDC-PE,LR,29.0,258768.69,241516.3,244371.61,255281.08,243712.27,250792.72,248470.82,248529.43,249781.74,247989.08,249675.71,248706.94
759480101,Recursos vinculados a fundos - FUNCULTURA - PROJETOS DE PRODUTORES CULTURAIS,SVR,29.8,4223172.69,3029805.77,2835574.56,2597140.91,2538081.41,2740189.34,2892027.37,2953621.62,2979946.57,2965605.33,2931797.47,2908176.81
759540000,Recursos vinculados a fundos - FDIMPPE,LGBM_global,164.34,34360.09,38835.32,39361.67,50408.81,60377.31,78689.59,57519.41,49605.55,37149.07,34111.15,37090.55,37674.56
801000000,Recursos vinculados ao RPPS - Fundo em Repartição (Plano Financeiro),LGBM_global,13.25,229315223.93,223819089.7,220840076.94,240246816.83,247146470.65,375527122.43,247719307.6,252481247.33,231386035.06,242343271.41,229361080.55,247277346.56
803000000,Recursos vinculados ao Sistema de Proteção Social dos Militares (SPSM),LGBM_global,17.5,30316388.98,32303628.37,29947703.35,34041864.82,32866413.04,54743066.09,40864617.47,35866817.28,45969545.19,37521143.01,42716752.9,35948985.57
