timestamp,Codigo,Nome,Grupo_Sinal,Melhor_Modelo,Parametros,RMSE_Teste,MAE_Teste,MAPE_Teste_Pct,LB_Pvalor,Lags_Sig_PACF,Metodo_Lags,N_Lags,Ultimo_Real_2025_06,Prev_2025_07,Var_2025_07_pct,Prev_2025_08,Var_2025_08_pct,Prev_2025_09,Var_2025_09_pct,Prev_2025_10,Var_2025_10_pct,Prev_2025_11,Var_2025_11_pct,Prev_2025_12,Var_2025_12_pct,Prev_2026_01,Var_2026_01_pct,Prev_2026_02,Var_2026_02_pct,Prev_2026_03,Var_2026_03_pct,Prev_2026_04,Var_2026_04_pct,Prev_2026_05,Var_2026_05_pct,Prev_2026_06,Var_2026_06_pct
20260525_121025,501140107,Outros Recursos não Vinculados - CONSERVATÓRIO DE MÚSICA,apenas_positivos,LR,Ridge(alpha=1.0),28449.48,27542.45,3558.4367,0.0001,[1],pacf,1,991.95,12676.77,1177.96,19937.25,57.27,24448.62,22.63,27251.81,11.47,28993.6,6.39,30075.87,3.73,30748.36,2.24,31166.21,1.36,31425.85,0.83,31587.18,0.51,31687.42,0.32,31749.71,0.2
20260525_121025,501651001,Outros Recursos não Vinculados - FENASEG,apenas_positivos,ARIMA,"(0,2,2)",51977.82,48123.67,62.1084,0.0487,[],fallback_heuristico,6,52810.85,75872.49,43.67,74265.39,-2.12,72658.29,-2.16,71051.19,-2.21,69444.09,-2.26,67836.99,-2.31,66229.89,-2.37,64622.79,-2.43,63015.69,-2.49,61408.59,-2.55,59801.49,-2.62,58194.39,-2.69
20260525_121025,501999001,Outros Recursos não Vinculados - TAXA INSCRIÇÃO SELEÇÃO SIMPLIFICADA OU CONCURSO,positivos_e_negativos,ARIMA,"(0,2,1)",2158969.0,2130883.03,166025.9803,0.0419,[],fallback_heuristico,4,1122696.37,1152519.71,2.66,1182343.05,2.59,1212166.39,2.52,1241989.73,2.46,1271813.07,2.4,1301636.41,2.34,1331459.75,2.29,1361283.09,2.24,1391106.43,2.19,1420929.77,2.14,1450753.11,2.1,1480576.45,2.06
20260525_121025,550000000,Transferência do Salário-Educação,apenas_positivos,ARIMA,"(2,2,1)",10033745.28,8341620.25,54.8063,0.0015,[1],pacf,1,32032713.88,23083167.57,-27.94,24480271.44,6.05,31583647.71,29.02,33749860.55,6.86,31210919.11,-7.52,30541815.14,-2.14,33212662.16,8.74,35557370.4,7.06,35776703.3,0.62,35674620.47,-0.29,36795318.42,3.14,38412680.84,4.4
20260525_121025,553004063,Convênio PNATE - PROGRAMA DE APOIO AO TRANSPORTE E - RESOLUÇÃO/CD/FNDE NO. 12/2011,apenas_positivos,SVR,"{'C': 0.1, 'epsilon': 0.01, 'kernel': 'rbf'}",86318.9,69275.91,96.2654,0.0352,[],fallback_heuristico,5,175488.63,184276.68,5.01,180482.2,-2.06,179667.5,-0.45,180771.96,0.61,180529.66,-0.13,180464.6,-0.04,180536.6,0.04,180523.23,-0.01,180516.22,-0.0,180520.93,0.0,180520.27,-0.0,180519.68,-0.0
20260525_121025,569004491,"Convênio PROGRAMA NACIONAL DE FOMENTO ÀS ESCOLAS D - RESOLUÇÃO Nº 7, DE 03/11/2016",apenas_positivos,MLP,"{'hidden_layer_sizes': (50,), 'alpha': 0.01, 'learning_rate_init': 0.001}",925803.01,744705.05,49.3578,0.007,[1],pacf,1,2429842.22,1599804.18,-34.16,1315045.22,-17.8,1171044.79,-10.95,1070718.1,-8.57,998178.23,-6.77,943470.98,-5.48,901019.17,-4.5,865065.3,-3.99,837564.28,-3.18,816620.9,-2.5,800671.49,-1.95,788525.23,-1.52
20260525_121025,569005117,Convênio PROGRAMA EMERGENCIAL DE EDUCAÇÃO CONECTAD - 00025320220001-006905,apenas_positivos,SVR,"{'C': 0.1, 'epsilon': 1, 'kernel': 'linear'}",5302861.35,4509663.63,104.5876,0.0326,[],fallback_heuristico,4,7574922.69,12951359.64,70.98,13321624.1,2.86,12561149.67,-5.71,11739351.16,-6.54,11588414.02,-1.29,11706300.19,1.02,11838178.75,1.13,11873759.38,0.3,11857514.64,-0.14,11836103.16,-0.18,11828795.69,-0.06,11830790.61,0.02
20260525_121025,600004628,Convênio 00.530.493/0001-71 - PORTARIA Nº 1.792/2012,apenas_positivos,SVR,"{'C': 100, 'epsilon': 0.01, 'kernel': 'linear'}",1764.39,1651.93,9.17,0.0173,[1],pacf,1,18283.98,18841.33,3.05,19285.07,2.36,19638.36,1.83,19919.65,1.43,20143.59,1.12,20321.89,0.89,20463.85,0.7,20576.87,0.55,20666.86,0.44,20738.5,0.35,20795.54,0.28,20840.95,0.22
20260525_121025,605000000,Assistência financeira da União destinada à complementação ao pagamento dos pisos salariais para profissionais da enfermagem,apenas_positivos,SVR,"{'C': 0.1, 'epsilon': 0.1, 'kernel': 'rbf'}",6428986.19,5745034.4,16.2783,0.0332,[],fallback_heuristico,5,36521321.36,37239998.58,1.97,37173645.19,-0.18,37215493.53,0.11,37367112.42,0.41,37269587.24,-0.26,37272799.15,0.01,37271619.29,-0.0,37272252.65,0.0,37274082.86,0.0,37273240.16,-0.0,37273235.8,-0.0,37273212.4,-0.0
20260525_121025,660002527,Convênio BLOCO DE FINANCIAMENTO  DA PROTEÇÃO SOCIA - BLOCO DE FINANCIAMENTO - PSEMC,apenas_positivos,LR,Ridge(alpha=1.0),278422.47,257591.69,4851522.1296,0.0059,"[1, 4]",pacf,4,2.1,586924.65,27948692.72,329402.28,-43.88,376265.7,14.23,392909.39,4.42,239802.81,-38.97,373782.83,55.87,305335.78,-18.31,353559.94,15.79,361543.02,2.26,326729.67,-9.63,353489.37,8.19,326080.29,-7.75
