Codigo,Nome,Grupo_Sinal,Cluster_ID,Membros_Total,Membros_Modelaveis,N_Lags_x,LB_Pvalor,Pooled_Ridge_RMSE,Pooled_Ridge_MAE,Pooled_Ridge_MAPE,Pooled_Ridge_Params,Pooled_SVR_RMSE,Pooled_SVR_MAE,Pooled_SVR_MAPE,Pooled_SVR_Params,Pooled_MLP_RMSE,Pooled_MLP_MAE,Pooled_MLP_MAPE,Pooled_MLP_Params,LGBM_Cluster_RMSE,LGBM_Cluster_MAE,LGBM_Cluster_MAPE,LGBM_Cluster_Params,Ind_Melhor_Modelo,Ind_RMSE,Ind_MAE,Ind_MAPE,N_Treino,N_Holdout,N_Lags_y,Pooled_Melhor_Modelo,Pooled_Melhor_RMSE,Delta_RMSE_pct
500000000,RECURSOS NÃO VINCULADOS DE IMPOSTOS,apenas_positivos,1,123,115,9,0.0,365750010.1,303656737.61,11.6678,alpha=0.01,515565928.7,427800425.42,15.7516,C=1  eps=0.1  kernel=rbf,391752587.99,324661316.29,12.5658,"layers=(50, 50)  alpha=0.0001  lr=0.001",328843258.07,283966998.41,11.0341,n_est=118  membros=115,SVR,298165954.11094993,251475082.74966776,9.633625816118933,70,12,9,LGBM,328843258.07,10.29
500410000,RECURSOS NÃO VINCULADOS DE IMPOSTOS - ISS,positivos_e_negativos,1,123,115,6,0.0,927144.41,771613.21,94.9959,alpha=0.01,1113587.61,890349.24,79.8124,C=1  eps=0.1  kernel=rbf,1338129.49,1033294.66,85.6654,"layers=(100, 50)  alpha=0.0001  lr=0.001",889729.1,735292.49,82.0993,n_est=118  membros=115,ARIMA,921883.2083175512,765474.9670865758,86.37672577037475,70,12,6,LGBM,889729.1,-3.49
500710000,RECURSOS NÃO VINCULADOS DE IMPOSTOS - TRANSF FES,apenas_positivos,0,243,18,12,0.0032,11819933.89,8968333.38,18.3479,alpha=100.0,12708446.73,9810389.29,20.0086,C=1  eps=0.1  kernel=rbf,11465673.99,8827141.3,18.5438,"layers=(50, 50)  alpha=0.01  lr=0.001",10729136.42,8652479.94,19.3298,n_est=73  membros=18,LR,13390424.675712628,10209905.536158385,20.708796702149204,69,12,12,LGBM,10729136.42,-19.87
501020001,OUTROS RECURSOS NÃO VINCULADOS - TCE,positivos_e_negativos,1,123,115,3,0.0,721081.85,581143.74,24.4725,alpha=0.01,1111365.62,958972.91,41.4904,C=1  eps=0.1  kernel=rbf,1672598.48,1455530.08,63.1748,"layers=(100, 50)  alpha=0.01  lr=0.001",739868.16,579563.08,24.0071,n_est=118  membros=115,SVR,484865.1237705468,370310.6308415631,15.543206009569314,70,12,3,Ridge,721081.85,48.72
501130201,RECURSOS PRÓPRIOS DA SECRETARIA EXECUTIVA DE RESSOCIALIZAÇÃO - SERES,apenas_positivos,1,123,115,1,0.0,3984.89,3846.52,1941.913,alpha=0.01,1970.11,1847.26,925.4091,C=1  eps=0.1  kernel=rbf,2195.1,2190.81,1125.7676,"layers=(50, 50)  alpha=0.01  lr=0.01",864.72,834.46,420.32,n_est=118  membros=115,SVR,25.817946237696503,21.688142236666465,10.943313667929774,27,6,1,LGBM,864.72,3249.3
501140107,OUTROS RECURSOS NÃO VINCULADOS - CONSERVATÓRIO DE MÚSICA,apenas_positivos,0,243,18,12,0.0,33429.24,25673.87,177.8534,alpha=100.0,34085.09,22234.09,142.9851,C=1  eps=0.1  kernel=rbf,23827.98,19597.65,153.9822,"layers=(50, 50)  alpha=0.01  lr=0.001",26294.49,18548.87,123.3944,n_est=73  membros=18,LR,9427.920301428634,8534.859478371342,71.0487350462667,62,12,12,MLP,23827.98,152.74
501150003,OUTROS RECURSOS NÃO VINCULADOS - FEEF,apenas_positivos,1,123,115,1,0.0,6808786.65,6271856.94,12.1938,alpha=0.01,9867212.48,8938081.45,16.4554,C=1  eps=0.1  kernel=rbf,15429260.6,14007064.53,26.4594,"layers=(50, 50)  alpha=0.01  lr=0.01",7700667.94,6592699.03,13.3617,n_est=118  membros=115,MLP,6723085.000824017,6227327.405905794,11.995960639784936,70,12,1,Ridge,6808786.65,1.27
501420341,OUTROS RECURSOS NÃO VINCULADOS - PECONSIG,apenas_positivos,1,123,115,4,0.0,14314.27,12847.24,3.8248,alpha=0.01,64853.68,60452.29,18.0634,C=1  eps=0.1  kernel=rbf,49702.57,45745.03,13.6501,"layers=(100,)  alpha=0.0001  lr=0.001",17968.36,16517.47,4.9273,n_est=118  membros=115,MLP,12500.355733501192,10981.726926703346,3.265363910602636,70,12,4,Ridge,14314.27,14.51
501560801,OUTROS RECURSOS NÃO VINCULADOS - ARENA PERNAMBUCO,positivos_e_negativos,0,243,18,1,0.003,143777.64,96656.08,46.5476,alpha=10.0,154058.35,92101.76,38.9123,C=1  eps=0.1  kernel=rbf,128822.79,92336.7,58.818,"layers=(50, 50)  alpha=0.01  lr=0.01",152852.76,110870.23,77.3403,n_est=73  membros=18,MLP,127763.7207829107,91972.09103203076,53.11746777737536,70,12,1,MLP,128822.79,0.83
501560802,OUTROS RECURSOS NÃO VINCULADOS - CAIS DO SERTÃO,apenas_positivos,1,123,115,12,0.0155,47891.29,43509.16,71.4823,alpha=0.01,28761.36,24360.23,39.0599,C=1  eps=0.1  kernel=rbf,68204.75,59243.96,95.0925,"layers=(100, 50)  alpha=0.01  lr=0.001",43172.39,38627.27,64.9935,n_est=118  membros=115,MLP,29346.726184270578,23648.245702481367,34.35704909585049,59,12,12,SVR,28761.36,-1.99
501610801,OUTROS RECURSOS NÃO VINCULADOS - MULTAS CPRH,apenas_positivos,1,123,115,1,0.004,244004.23,95448.94,46.9857,alpha=0.01,260185.24,118778.32,71.3919,C=1  eps=0.1  kernel=rbf,261048.81,117129.4,65.2548,"layers=(50, 50)  alpha=0.01  lr=0.01",243858.24,96038.61,47.852,n_est=118  membros=115,MLP,253588.50717863583,101643.99884632423,40.83438626964649,70,12,1,LGBM,243858.24,-3.84
540000000,TRANSFERÊNCIAS DO FUNDEB - IMPOSTOS E TRANSFERÊNCIAS DE IMPOSTOS,apenas_positivos,1,123,115,2,0.0,42201045.43,32449312.92,9.6559,alpha=0.01,69852457.51,63560615.84,19.6092,C=1  eps=0.1  kernel=rbf,96756542.07,89659484.65,27.8285,"layers=(100,)  alpha=0.001  lr=0.01",53597773.86,45165307.43,13.6628,n_est=118  membros=115,ARIMA,45209453.93499976,35507095.55204029,10.60315508568554,70,12,2,Ridge,42201045.43,-6.65
550000000,TRANSFERÊNCIA DO SALÁRIO-EDUCAÇÃO,apenas_positivos,1,123,115,2,0.0,8173257.0,6877268.53,27.1746,alpha=0.01,10569003.44,9496177.83,38.3845,C=1  eps=0.1  kernel=rbf,15349292.12,14463884.18,59.5344,"layers=(100,)  alpha=0.001  lr=0.01",7899161.13,6665496.2,26.3295,n_est=118  membros=115,ARIMA,5208684.8050466925,2815959.0040671206,9.769856505254548,70,12,2,LGBM,7899161.13,51.65
552004599,CONVÊNIO PNAE - MERENDA ESCOLAR 2 -,apenas_positivos,1,123,115,8,0.0,22881.94,21275.28,85175.0606,alpha=0.01,4833.58,4112.53,19303.9602,C=1  eps=0.1  kernel=rbf,15300.87,14755.93,66769.3521,"layers=(100,)  alpha=0.0001  lr=0.001",4529.0,4308.46,18963.0597,n_est=118  membros=115,SVR,207.99281151594303,202.76586803272605,980.25657877937,60,12,8,LGBM,4529.0,2077.48
569003619,CONVÊNIO PAR BRASIL PROFISSIONALIZADO INFRAESTRUTU -,apenas_positivos,1,123,115,9,0.0,12676.25,10709.3,10.3854,alpha=0.01,48943.18,42133.93,39.1116,C=1  eps=0.1  kernel=rbf,15215.54,13042.08,12.2968,"layers=(50, 50)  alpha=0.0001  lr=0.001",12614.84,10768.24,11.208,n_est=118  membros=115,ARIMA,21152.552670151184,17159.10788734528,15.787394300425673,69,12,9,LGBM,12614.84,-40.36
569003863,CONVÊNIO PAC 2 CONSTRUÇÃO DE QUADRAS I - PAC 2442/2011,positivos_e_negativos,1,123,115,3,0.0,40192.98,19490.52,38.4652,alpha=0.01,39041.46,28179.98,45.2298,C=1  eps=0.1  kernel=rbf,44274.46,36984.64,64.5379,"layers=(100, 50)  alpha=0.01  lr=0.001",40721.82,18334.63,37.1183,n_est=118  membros=115,SVR,37378.01367602888,24410.67261098039,42.35295399914114,68,12,3,SVR,39041.46,4.45
569003913,CONVÊNIO PAC 2 CONSTRUÇÃO DE QUADRAS II - 3583/2011,apenas_positivos,1,123,115,2,0.0,6255.69,4607.7,45.1744,alpha=0.01,9041.99,7384.92,51.1174,C=1  eps=0.1  kernel=rbf,11232.12,9314.99,52.8978,"layers=(100,)  alpha=0.001  lr=0.01",5874.27,3996.52,43.8905,n_est=118  membros=115,ARIMA,6113.121385080832,4400.3439016102,44.73267684612293,69,12,2,LGBM,5874.27,-3.91
569004243,CONVÊNIO PAR TERMO DE COMPROMISSO BRASIL PROFISSIO -,apenas_positivos,1,123,115,1,0.0,996.82,843.91,11.085,alpha=0.01,4334.05,3817.08,47.5068,C=1  eps=0.1  kernel=rbf,4457.89,3916.06,48.4987,"layers=(50, 50)  alpha=0.01  lr=0.01",931.62,823.12,11.7597,n_est=118  membros=115,MLP,918.8211619934006,823.8969209297816,11.820661872472444,69,12,1,LGBM,931.62,1.39
569004544,CONVÊNIO PROGRAMA BRASIL ALFABETIZADO III - RESOLU - PROGRAMA BRASIL ALFABETIZADO,apenas_positivos,1,123,115,3,0.0,15396.52,10346.85,10.5004,alpha=0.01,48584.48,40600.44,40.072,C=1  eps=0.1  kernel=rbf,74828.92,64740.96,64.727,"layers=(100, 50)  alpha=0.01  lr=0.001",17958.13,14293.8,15.2168,n_est=118  membros=115,MLP,18472.2541821918,11990.627243569174,11.468265052890596,69,12,3,Ridge,15396.52,-16.65
569004596,CONVÊNIO PAR TERMO DE COMPROMISSO - ROBÓTICA - 1007/2017,apenas_positivos,1,123,115,4,0.0,2327.26,2296.67,28.1059,alpha=0.01,5804.01,5002.94,54.9314,C=1  eps=0.1  kernel=rbf,1743.86,1559.31,18.5492,"layers=(100,)  alpha=0.0001  lr=0.001",4511.91,4318.18,50.7929,n_est=118  membros=115,LR,1879.050821074896,1508.8552491661012,16.24541364930537,69,12,4,MLP,1743.86,-7.19
569004611,CONVÊNIO PAR TERMO DE COMPROMISSO - 99-3 / 2018 BN - 99-3 / 2018,apenas_positivos,1,123,115,11,0.0,5541.99,4987.82,211.6041,alpha=0.01,814.82,677.03,22.6299,C=1  eps=0.1  kernel=rbf,2649.79,2146.43,74.4102,"layers=(100, 50)  alpha=0.01  lr=0.01",6458.45,5724.79,242.8257,n_est=118  membros=115,MLP,897.9556373024427,720.8604882247624,21.324760893173547,69,12,11,SVR,814.82,-9.26
569005039,CONVÊNIO PAR TERMO DE COMPROMISSO - EMENDA PARLAME - 3832-3/2021,apenas_positivos,1,123,115,1,0.0054,5.57,5.03,17.8654,alpha=0.01,4.35,3.98,14.1802,C=1  eps=0.1  kernel=rbf,3.87,3.41,12.0413,"layers=(50, 50)  alpha=0.01  lr=0.01",4.6,4.27,15.2325,n_est=118  membros=115,ARIMA,1.4351821639502909,1.119475004220012,3.9675058660801095,23,5,1,MLP,3.87,169.65
570003601,CONVÊNIO ARQUIVO PÚBLICO - 9209042/2010,apenas_positivos,1,123,115,8,0.0,331.94,293.11,9.1199,alpha=0.01,2380.85,2039.44,56.5731,C=1  eps=0.1  kernel=rbf,585.91,430.72,11.6455,"layers=(100,)  alpha=0.0001  lr=0.001",531.46,468.68,15.2398,n_est=118  membros=115,MLP,239.5009228890652,213.24714630080044,6.96298256171755,61,12,8,Ridge,331.94,38.6
600002083,CONVÊNIO PROGRAMA EXTRA TETO PÓLIO - PORTARIA Nº 1045/04,apenas_positivos,1,123,115,11,0.0,32.9,29.35,28.8486,alpha=0.01,44.64,29.22,23.7822,C=1  eps=0.1  kernel=rbf,64.47,51.52,47.2846,"layers=(100, 50)  alpha=0.01  lr=0.01",36.73,34.78,36.4552,n_est=118  membros=115,MLP,32.616280905792884,18.46170293230717,14.73497796066978,57,12,11,Ridge,32.9,0.87
600002199,CONVÊNIO PROGRAMA AGENTES COMUNITÁRIOS DE SAÚDE -  - PORTARIA Nº 2.474/04,positivos_e_negativos,0,243,18,2,0.0021,118.96,109.81,472.1079,alpha=0.01,15.62,10.5,44.9,C=1  eps=0.1  kernel=rbf,275.92,240.46,870.1258,"layers=(50, 50)  alpha=0.01  lr=0.01",15.37,11.99,47.5014,n_est=73  membros=18,MLP,10.015041909042706,7.614575741361167,27.68315267321329,52,12,2,LGBM,15.37,53.47
600002345,CONVÊNIO PROGRAMA EXTRA TETO IDOSO/2006 - PORTARIA Nº 1.343/2006,apenas_positivos,1,123,115,2,0.0,3448.15,3205.48,318.3822,alpha=0.01,1190.31,970.5,87.7782,C=1  eps=0.1  kernel=rbf,1340.42,1126.45,117.3791,"layers=(100,)  alpha=0.001  lr=0.01",454.0,404.96,42.1375,n_est=118  membros=115,MLP,475.09774539252857,460.6025425286997,47.17796960869556,47,11,2,LGBM,454.0,-4.44
600003885,CONVÊNIO PVVPS - PORTARIA Nº 2.849/2011,apenas_positivos,1,123,115,6,0.0,1166.2,1106.27,1282923.0171,alpha=0.01,335.95,320.1,367738.9939,C=1  eps=0.1  kernel=rbf,384.88,339.76,413365.2588,"layers=(100, 50)  alpha=0.0001  lr=0.001",122.99,113.54,138812.6027,n_est=118  membros=115,SVR,16.482065758067183,16.111578928912472,18796.38638338669,31,7,6,LGBM,122.99,646.21
