Codigo,Nome,Ind_Melhor_Modelo,Ind_RMSE,Ind_MAE,Ind_MAPE,Grupo_Sinal,Cluster_ID,Pooled_Ridge_RMSE,Pooled_Ridge_MAE,Pooled_Ridge_MAPE,Pooled_SVR_RMSE,Pooled_SVR_MAE,Pooled_SVR_MAPE,Pooled_MLP_RMSE,Pooled_MLP_MAE,Pooled_MLP_MAPE,Pooled_Melhor_Modelo,Pooled_Melhor_RMSE,LGBM_Cluster_RMSE,LGBM_Cluster_MAE,LGBM_Cluster_MAPE,N_Treino,N_Holdout,Global_Ridge_RMSE,Global_Ridge_MAE,Global_Ridge_MAPE,Global_RF_RMSE,Global_RF_MAE,Global_RF_MAPE,Global_MLP_RMSE,Global_MLP_MAE,Global_MLP_MAPE,Global_LGBM_RMSE,Global_LGBM_MAE,Global_LGBM_MAPE,Global_Chronos_RMSE,Global_Chronos_MAE,Global_Chronos_MAPE,Global_Melhor_Modelo,Global_Melhor_RMSE,_Pooled_Melhor_MAPE,_Global_Melhor_MAPE,_Global_Melhor_com_Chronos_MAPE,_Oracle_RMSE,_Oracle_MAPE
500000000,RECURSOS NÃO VINCULADOS DE IMPOSTOS,SVR,298165954.11094993,251475082.74966776,9.633625816118933,apenas_positivos,1,365750010.1,303656737.61,11.6678,515565928.7,427800425.42,15.7516,391752587.99,324661316.29,12.5658,LGBM,328843258.07,328843258.07,283966998.41,11.0341,70,12,358532760.73253906,299022036.320982,11.524459568805655,382754828.7747876,329491747.13611835,12.967333613007924,339681850.09266967,225645347.00153533,7.98377173660392,286450246.88788724,250164999.65724948,9.822430068198136,359531729.74328053,260717013.3333333,9.43913814661956,LGBM,286450246.88788724,11.0341,9.822430068198136,9.822430068198136,286450246.88788724,9.822430068198136
500410000,RECURSOS NÃO VINCULADOS DE IMPOSTOS - ISS,ARIMA,921883.2083175512,765474.9670865758,86.37672577037475,positivos_e_negativos,1,927144.41,771613.21,94.9959,1113587.61,890349.24,79.8124,1338129.49,1033294.66,85.6654,LGBM,889729.1,889729.1,735292.49,82.0993,70,12,907401.2929938628,752416.702211127,88.87847276473812,883472.2313823779,739213.3525245356,87.77226048599496,966681.964835544,808487.451172574,81.92610374973907,927270.8275914928,734749.1014742592,77.51315901971276,1157238.5836750972,891372.9322916666,84.91471544218201,RF,883472.2313823779,82.0993,87.77226048599496,87.77226048599496,883472.2313823779,87.77226048599496
500710000,RECURSOS NÃO VINCULADOS DE IMPOSTOS - TRANSF FES,LR,13390424.675712628,10209905.536158385,20.708796702149204,apenas_positivos,0,11819933.89,8968333.38,18.3479,12708446.73,9810389.29,20.0086,11465673.99,8827141.3,18.5438,LGBM,10729136.42,10729136.42,8652479.94,19.3298,69,12,11768523.342837429,9210834.03967212,22.04010023295425,12404045.883998392,9545067.158546409,23.49843735094336,11741784.194584766,9787351.661313396,23.42106094828844,12051587.4055444,9455181.88080988,20.24232937009365,14082948.990769014,10425168.666666666,20.939336769683656,MLP,11741784.194584766,19.3298,23.42106094828844,23.42106094828844,10729136.42,19.3298
501020001,OUTROS RECURSOS NÃO VINCULADOS - TCE,SVR,484865.1237705468,370310.6308415631,15.543206009569314,positivos_e_negativos,1,721081.85,581143.74,24.4725,1111365.62,958972.91,41.4904,1672598.48,1455530.08,63.1748,Ridge,721081.85,739868.16,579563.08,24.0071,70,12,698783.9601190148,556142.9399875416,23.232242698072337,633377.2839356181,538295.1612227563,23.2762014522722,1072984.6650239695,862722.7777451957,36.42226548215841,892521.2903983421,741090.2974650884,31.472503000257984,716867.8479494383,567859.3125,23.989662071907688,RF,633377.2839356181,24.4725,23.2762014522722,23.2762014522722,633377.2839356181,23.2762014522722
501130201,RECURSOS PRÓPRIOS DA SECRETARIA EXECUTIVA DE RESSOCIALIZAÇÃO - SERES,SVR,25.817946237696503,21.688142236666465,10.943313667929774,apenas_positivos,1,3984.89,3846.52,1941.913,1970.11,1847.26,925.4091,2195.1,2190.81,1125.7676,LGBM,864.72,864.72,834.46,420.32,27,6,2347.181591939411,2182.4730841756323,1090.584424412519,2147.842583089201,1995.893565183792,997.9078639552408,934.1464286752436,882.637192657778,443.4426836223898,1920.4434594973068,1827.706292169699,918.4738173648848,32.852634725774486,28.536043802897137,13.99285368161318,Chronos,32.852634725774486,420.32,443.4426836223898,13.99285368161318,32.852634725774486,13.99285368161318
501140107,OUTROS RECURSOS NÃO VINCULADOS - CONSERVATÓRIO DE MÚSICA,LR,9427.920301428634,8534.859478371342,71.0487350462667,apenas_positivos,0,33429.24,25673.87,177.8534,34085.09,22234.09,142.9851,23827.98,19597.65,153.9822,MLP,23827.98,26294.49,18548.87,123.3944,62,12,45652.64395066613,41351.74030579425,323.5459925123293,43466.41897451228,39861.62678617655,312.3802419962027,39805.830208462816,35655.88943713901,331.9307106606352,40722.5831792649,36188.89632046422,262.31869212834533,50293.90949150144,25157.908528645832,56.13606731291097,MLP,39805.830208462816,153.9822,331.9307106606352,331.9307106606352,23827.98,153.9822
501150003,OUTROS RECURSOS NÃO VINCULADOS - FEEF,MLP,6723085.000824017,6227327.405905794,11.995960639784936,apenas_positivos,1,6808786.65,6271856.94,12.1938,9867212.48,8938081.45,16.4554,15429260.6,14007064.53,26.4594,Ridge,6808786.65,7700667.94,6592699.03,13.3617,70,12,10223623.523240916,8325707.560601226,17.373631136936105,7971012.603784814,6720377.345805827,13.73210669492008,9708980.007116605,7788933.604961957,14.735249786217516,6439380.658173989,5416391.083386471,10.62360792935077,9615297.390026512,7269890.666666667,15.388207729452978,LGBM,6439380.658173989,12.1938,10.62360792935077,10.62360792935077,6439380.658173989,10.62360792935077
501420341,OUTROS RECURSOS NÃO VINCULADOS - PECONSIG,MLP,12500.355733501192,10981.726926703346,3.265363910602636,apenas_positivos,1,14314.27,12847.24,3.8248,64853.68,60452.29,18.0634,49702.57,45745.03,13.6501,Ridge,14314.27,17968.36,16517.47,4.9273,70,12,13554.958712255167,11818.560173399856,3.5127181576816624,9058.785324884166,8146.129274057336,2.4596716447257827,54168.81764633909,49410.670050156215,14.731114461659567,32101.35138376981,29744.151562182724,8.876364357771456,28158.104935065847,26715.21875,7.9876451139654705,RF,9058.785324884166,3.8248,2.4596716447257827,2.4596716447257827,9058.785324884166,2.4596716447257827
501560801,OUTROS RECURSOS NÃO VINCULADOS - ARENA PERNAMBUCO,MLP,127763.7207829107,91972.09103203076,53.11746777737536,positivos_e_negativos,0,143777.64,96656.08,46.5476,154058.35,92101.76,38.9123,128822.79,92336.7,58.818,MLP,128822.79,152852.76,110870.23,77.3403,70,12,175011.6782283736,159571.4265863809,104.6819891768764,168669.6676265649,155339.76586930873,98.99900358255746,171481.85924030765,124724.5468347144,69.51069023710514,124749.59824346304,87524.76222678908,57.148622718497485,131086.09721888474,85190.06184895833,42.83927602100774,LGBM,124749.59824346304,58.818,57.148622718497485,57.148622718497485,124749.59824346304,57.148622718497485
501560802,OUTROS RECURSOS NÃO VINCULADOS - CAIS DO SERTÃO,MLP,29346.726184270578,23648.245702481367,34.35704909585049,apenas_positivos,1,47891.29,43509.16,71.4823,28761.36,24360.23,39.0599,68204.75,59243.96,95.0925,SVR,28761.36,43172.39,38627.27,64.9935,59,12,43378.801096849646,39599.371598080725,65.24523913475423,57903.21768691425,51816.31821597578,84.99267351379126,53005.88114240338,45159.72059144236,77.21546410121026,36811.384246777205,30849.065138685968,53.39070049890032,31206.81598857211,25544.29296875,35.883550754379215,Chronos,31206.81598857211,39.0599,53.39070049890032,35.883550754379215,28761.36,39.0599
