timestamp,Codigo,Nome,Grupo_Sinal,N_Total,N_Treino,N_Holdout,N_Lags,Modelo,Parametros,RMSE,MAE,MAPE,Selecionado,Ruido_Branco,LB_Pvalor,Lags_Sig_PACF,Metodo_Lags
20260527_095838,500000000,RECURSOS NÃO VINCULADOS DE IMPOSTOS,apenas_positivos,82,70,12,9,ARIMA,"(2,2,3)",375529880.6088667,279073091.9635189,10.195170950092498,False,False,3.8760379418381484e-48,"[1, 9]",pacf
20260527_095838,500000000,RECURSOS NÃO VINCULADOS DE IMPOSTOS,apenas_positivos,82,70,12,9,LR,Ridge(alpha=10.0),344224144.02885306,228587411.28595638,8.032639046644316,False,False,3.8760379418381484e-48,"[1, 9]",pacf
20260527_095838,500000000,RECURSOS NÃO VINCULADOS DE IMPOSTOS,apenas_positivos,82,70,12,9,SVR,"{'C': 1, 'epsilon': 1, 'kernel': 'rbf'}",298165954.11094993,251475082.74966776,9.633625816118933,True,False,3.8760379418381484e-48,"[1, 9]",pacf
20260527_095838,500000000,RECURSOS NÃO VINCULADOS DE IMPOSTOS,apenas_positivos,82,70,12,9,MLP,"{'hidden_layer_sizes': (50,), 'alpha': 0.01, 'learning_rate_init': 0.01}",392814711.4818814,273682455.2734025,9.646241031626019,False,False,3.8760379418381484e-48,"[1, 9]",pacf
20260527_095838,500150004,SEFAZ - FAAF - LC 547/2024,apenas_positivos,13,10,3,0,N/A,N/A,,,,False,True,0.9689561431959541,[],nenhum
20260527_095838,500410000,RECURSOS NÃO VINCULADOS DE IMPOSTOS - ISS,positivos_e_negativos,82,70,12,6,ARIMA,"(2,1,1)",921883.2083175512,765474.9670865758,86.37672577037475,True,False,8.228058935915455e-20,"[1, 3, 6]",pacf
20260527_095838,500410000,RECURSOS NÃO VINCULADOS DE IMPOSTOS - ISS,positivos_e_negativos,82,70,12,6,LR,Ridge(alpha=100.0),1014861.0561420587,829695.6792416419,74.22881948959214,False,False,8.228058935915455e-20,"[1, 3, 6]",pacf
20260527_095838,500410000,RECURSOS NÃO VINCULADOS DE IMPOSTOS - ISS,positivos_e_negativos,82,70,12,6,SVR,"{'C': 0.1, 'epsilon': 0.1, 'kernel': 'linear'}",946537.2538585069,779403.0149100545,80.03415731405313,False,False,8.228058935915455e-20,"[1, 3, 6]",pacf
20260527_095838,500410000,RECURSOS NÃO VINCULADOS DE IMPOSTOS - ISS,positivos_e_negativos,82,70,12,6,MLP,"{'hidden_layer_sizes': (100,), 'alpha': 0.01, 'learning_rate_init': 0.001}",945825.0257989261,780116.1179953291,74.72446811087292,False,False,8.228058935915455e-20,"[1, 3, 6]",pacf
20260527_095838,500710000,RECURSOS NÃO VINCULADOS DE IMPOSTOS - TRANSF FES,apenas_positivos,81,69,12,12,ARIMA,"(2,1,1)",13421549.149817854,9981297.225318305,20.613878455765107,False,False,0.003184380166162813,"[3, 12]",pacf
20260527_095838,500710000,RECURSOS NÃO VINCULADOS DE IMPOSTOS - TRANSF FES,apenas_positivos,81,69,12,12,LR,Ridge(alpha=100.0),13390424.675712628,10209905.536158383,20.708796702149204,True,False,0.003184380166162813,"[3, 12]",pacf
20260527_095838,500710000,RECURSOS NÃO VINCULADOS DE IMPOSTOS - TRANSF FES,apenas_positivos,81,69,12,12,SVR,"{'C': 0.1, 'epsilon': 1, 'kernel': 'rbf'}",14984492.66775466,11092686.773405246,22.184540000762066,False,False,0.003184380166162813,"[3, 12]",pacf
20260527_095838,500710000,RECURSOS NÃO VINCULADOS DE IMPOSTOS - TRANSF FES,apenas_positivos,81,69,12,12,MLP,"{'hidden_layer_sizes': (100, 50), 'alpha': 0.0001, 'learning_rate_init': 0.001}",14381332.385541825,10828009.518730741,21.815184586373253,False,False,0.003184380166162813,"[3, 12]",pacf
20260527_095838,501000000,OUTROS RECURSOS NÃO VINCULADOS,apenas_positivos,82,70,12,0,N/A,N/A,,,,False,True,0.26713190095431993,[],nenhum
20260527_095838,501020001,OUTROS RECURSOS NÃO VINCULADOS - TCE,positivos_e_negativos,82,70,12,3,ARIMA,"(0,1,2)",694604.7992901697,542880.1612800545,22.36209280513012,False,False,9.653803571581698e-79,"[1, 2, 3]",pacf
20260527_095838,501020001,OUTROS RECURSOS NÃO VINCULADOS - TCE,positivos_e_negativos,82,70,12,3,LR,Ridge(alpha=10.0),802828.736496989,644859.192415831,26.99257309907313,False,False,9.653803571581698e-79,"[1, 2, 3]",pacf
20260527_095838,501020001,OUTROS RECURSOS NÃO VINCULADOS - TCE,positivos_e_negativos,82,70,12,3,SVR,"{'C': 100, 'epsilon': 0.1, 'kernel': 'linear'}",484865.12377054675,370310.63084156305,15.543206009569314,True,False,9.653803571581698e-79,"[1, 2, 3]",pacf
20260527_095838,501020001,OUTROS RECURSOS NÃO VINCULADOS - TCE,positivos_e_negativos,82,70,12,3,MLP,"{'hidden_layer_sizes': (100,), 'alpha': 0.0001, 'learning_rate_init': 0.01}",890254.4439638174,738757.948435476,31.302386883911755,False,False,9.653803571581698e-79,"[1, 2, 3]",pacf
20260527_095838,501020002,CESSÃO E OPERACIONALIZAÇÃO DA FOLHA DE PAGAMENTO DO TCE,apenas_positivos,31,25,6,0,N/A,N/A,,,,False,True,0.7586690036165589,[],nenhum
20260527_095838,501120101,OUTROS RECURSOS NÃO VINCULADOS - PECONSIG,apenas_positivos,81,69,12,0,N/A,N/A,,,,False,True,0.5498813470834821,[],nenhum
20260527_095838,501130201,RECURSOS PRÓPRIOS DA SECRETARIA EXECUTIVA DE RESSOCIALIZAÇÃO - SERES,apenas_positivos,33,27,6,1,ARIMA,"(2,1,0)",39.66592940660921,35.71368454467537,17.642450988198576,False,False,8.157366001225069e-07,[1],pacf
20260527_095838,501130201,RECURSOS PRÓPRIOS DA SECRETARIA EXECUTIVA DE RESSOCIALIZAÇÃO - SERES,apenas_positivos,33,27,6,1,LR,Ridge(alpha=0.01),867.0377017212415,805.0966334237049,402.6666076109207,False,False,8.157366001225069e-07,[1],pacf
20260527_095838,501130201,RECURSOS PRÓPRIOS DA SECRETARIA EXECUTIVA DE RESSOCIALIZAÇÃO - SERES,apenas_positivos,33,27,6,1,SVR,"{'C': 1, 'epsilon': 0.01, 'kernel': 'linear'}",25.817946237696503,21.688142236666465,10.943313667929774,True,False,8.157366001225069e-07,[1],pacf
20260527_095838,501130201,RECURSOS PRÓPRIOS DA SECRETARIA EXECUTIVA DE RESSOCIALIZAÇÃO - SERES,apenas_positivos,33,27,6,1,MLP,"{'hidden_layer_sizes': (100, 50), 'alpha': 0.0001, 'learning_rate_init': 0.001}",2894.9418575093896,2834.873106829611,1438.3361001802757,False,False,8.157366001225069e-07,[1],pacf
20260527_095838,501140107,OUTROS RECURSOS NÃO VINCULADOS - CONSERVATÓRIO DE MÚSICA,apenas_positivos,74,62,12,12,ARIMA,"(3,1,3)",36192.32021803478,27146.752621154665,241.77210284547849,False,False,2.1804523956924222e-06,"[3, 4, 7, 12]",pacf
20260527_095838,501140107,OUTROS RECURSOS NÃO VINCULADOS - CONSERVATÓRIO DE MÚSICA,apenas_positivos,74,62,12,12,LR,Ridge(alpha=0.01),9427.920301428634,8534.859478371342,71.0487350462667,True,False,2.1804523956924222e-06,"[3, 4, 7, 12]",pacf
20260527_095838,501140107,OUTROS RECURSOS NÃO VINCULADOS - CONSERVATÓRIO DE MÚSICA,apenas_positivos,74,62,12,12,SVR,"{'C': 10, 'epsilon': 0.1, 'kernel': 'rbf'}",11087.923552253873,8857.598483799242,89.36456084654652,False,False,2.1804523956924222e-06,"[3, 4, 7, 12]",pacf
20260527_095838,501140107,OUTROS RECURSOS NÃO VINCULADOS - CONSERVATÓRIO DE MÚSICA,apenas_positivos,74,62,12,12,MLP,"{'hidden_layer_sizes': (100,), 'alpha': 0.01, 'learning_rate_init': 0.001}",13004.668694525551,9856.874503365529,58.133516203427696,False,False,2.1804523956924222e-06,"[3, 4, 7, 12]",pacf
