timestamp,Codigo,Nome,Grupo_Sinal,Shift_Value,Melhor_Modelo,Params_ARIMA,Params_LR,Params_SVR,Params_MLP
20260527_095838,500000000,RECURSOS NÃO VINCULADOS DE IMPOSTOS,apenas_positivos,0.0,SVR,"(2,2,3)",Ridge(alpha=10.0),"{'C': 1, 'epsilon': 1, 'kernel': 'rbf'}","{'hidden_layer_sizes': (50,), 'alpha': 0.01, 'learning_rate_init': 0.01}"
20260527_095838,500410000,RECURSOS NÃO VINCULADOS DE IMPOSTOS - ISS,positivos_e_negativos,0.0,ARIMA,"(2,1,1)",Ridge(alpha=100.0),"{'C': 0.1, 'epsilon': 0.1, 'kernel': 'linear'}","{'hidden_layer_sizes': (100,), 'alpha': 0.01, 'learning_rate_init': 0.001}"
20260527_095838,500710000,RECURSOS NÃO VINCULADOS DE IMPOSTOS - TRANSF FES,apenas_positivos,0.0,LR,"(2,1,1)",Ridge(alpha=100.0),"{'C': 0.1, 'epsilon': 1, 'kernel': 'rbf'}","{'hidden_layer_sizes': (100, 50), 'alpha': 0.0001, 'learning_rate_init': 0.001}"
20260527_095838,501020001,OUTROS RECURSOS NÃO VINCULADOS - TCE,positivos_e_negativos,0.0,SVR,"(0,1,2)",Ridge(alpha=10.0),"{'C': 100, 'epsilon': 0.1, 'kernel': 'linear'}","{'hidden_layer_sizes': (100,), 'alpha': 0.0001, 'learning_rate_init': 0.01}"
20260527_095838,501130201,RECURSOS PRÓPRIOS DA SECRETARIA EXECUTIVA DE RESSOCIALIZAÇÃO - SERES,apenas_positivos,0.0,SVR,"(2,1,0)",Ridge(alpha=0.01),"{'C': 1, 'epsilon': 0.01, 'kernel': 'linear'}","{'hidden_layer_sizes': (100, 50), 'alpha': 0.0001, 'learning_rate_init': 0.001}"
20260527_095838,501140107,OUTROS RECURSOS NÃO VINCULADOS - CONSERVATÓRIO DE MÚSICA,apenas_positivos,0.0,LR,"(3,1,3)",Ridge(alpha=0.01),"{'C': 10, 'epsilon': 0.1, 'kernel': 'rbf'}","{'hidden_layer_sizes': (100,), 'alpha': 0.01, 'learning_rate_init': 0.001}"
20260527_095838,501150003,OUTROS RECURSOS NÃO VINCULADOS - FEEF,apenas_positivos,0.0,MLP,"(2,1,3)",Ridge(alpha=0.01),"{'C': 100, 'epsilon': 0.01, 'kernel': 'linear'}","{'hidden_layer_sizes': (50,), 'alpha': 0.001, 'learning_rate_init': 0.01}"
20260527_095838,501420341,OUTROS RECURSOS NÃO VINCULADOS - PECONSIG,apenas_positivos,0.0,MLP,"(1,1,2)",Ridge(alpha=10.0),"{'C': 0.1, 'epsilon': 0.01, 'kernel': 'linear'}","{'hidden_layer_sizes': (100,), 'alpha': 0.0001, 'learning_rate_init': 0.01}"
20260527_095838,501560801,OUTROS RECURSOS NÃO VINCULADOS - ARENA PERNAMBUCO,positivos_e_negativos,0.0,MLP,"(1,1,3)",Ridge(alpha=0.01),"{'C': 1, 'epsilon': 0.01, 'kernel': 'rbf'}","{'hidden_layer_sizes': (100, 50), 'alpha': 0.0001, 'learning_rate_init': 0.001}"
20260527_095838,501560802,OUTROS RECURSOS NÃO VINCULADOS - CAIS DO SERTÃO,apenas_positivos,0.0,MLP,"(0,0,2)",Ridge(alpha=100.0),"{'C': 0.1, 'epsilon': 1, 'kernel': 'linear'}","{'hidden_layer_sizes': (100, 50), 'alpha': 0.001, 'learning_rate_init': 0.001}"
20260527_095838,501610801,OUTROS RECURSOS NÃO VINCULADOS - MULTAS CPRH,apenas_positivos,0.0,MLP,"(2,0,2)",Ridge(alpha=0.01),"{'C': 1, 'epsilon': 0.1, 'kernel': 'linear'}","{'hidden_layer_sizes': (100,), 'alpha': 0.01, 'learning_rate_init': 0.01}"
20260527_095838,540000000,TRANSFERÊNCIAS DO FUNDEB - IMPOSTOS E TRANSFERÊNCIAS DE IMPOSTOS,apenas_positivos,0.0,ARIMA,"(1,1,1)",Ridge(alpha=0.01),"{'C': 1, 'epsilon': 1, 'kernel': 'linear'}","{'hidden_layer_sizes': (50,), 'alpha': 0.01, 'learning_rate_init': 0.001}"
20260527_095838,550000000,TRANSFERÊNCIA DO SALÁRIO-EDUCAÇÃO,apenas_positivos,0.0,ARIMA,"(0,1,2)",Ridge(alpha=0.01),"{'C': 100, 'epsilon': 0.1, 'kernel': 'linear'}","{'hidden_layer_sizes': (50,), 'alpha': 0.01, 'learning_rate_init': 0.001}"
20260527_095838,552004599,CONVÊNIO PNAE - MERENDA ESCOLAR 2 -,apenas_positivos,0.0,SVR,"(0,1,3)",Ridge(alpha=0.01),"{'C': 0.1, 'epsilon': 0.01, 'kernel': 'linear'}","{'hidden_layer_sizes': (100,), 'alpha': 0.0001, 'learning_rate_init': 0.001}"
20260527_095838,569003619,CONVÊNIO PAR BRASIL PROFISSIONALIZADO INFRAESTRUTU -,apenas_positivos,0.0,ARIMA,"(1,1,3)",Ridge(alpha=10.0),"{'C': 10, 'epsilon': 0.1, 'kernel': 'linear'}","{'hidden_layer_sizes': (100, 50), 'alpha': 0.01, 'learning_rate_init': 0.01}"
20260527_095838,569003863,CONVÊNIO PAC 2 CONSTRUÇÃO DE QUADRAS I - PAC 2442/2011,positivos_e_negativos,0.0,SVR,"(0,1,2)",Ridge(alpha=0.01),"{'C': 100, 'epsilon': 0.01, 'kernel': 'linear'}","{'hidden_layer_sizes': (50,), 'alpha': 0.01, 'learning_rate_init': 0.001}"
20260527_095838,569003913,CONVÊNIO PAC 2 CONSTRUÇÃO DE QUADRAS II - 3583/2011,apenas_positivos,0.0,ARIMA,"(1,1,3)",Ridge(alpha=1.0),"{'C': 1, 'epsilon': 0.01, 'kernel': 'linear'}","{'hidden_layer_sizes': (50, 50), 'alpha': 0.001, 'learning_rate_init': 0.01}"
20260527_095838,569004243,CONVÊNIO PAR TERMO DE COMPROMISSO BRASIL PROFISSIO -,apenas_positivos,0.0,MLP,"(0,1,1)",Ridge(alpha=0.01),"{'C': 100, 'epsilon': 0.1, 'kernel': 'linear'}","{'hidden_layer_sizes': (50, 50), 'alpha': 0.0001, 'learning_rate_init': 0.01}"
20260527_095838,569004544,CONVÊNIO PROGRAMA BRASIL ALFABETIZADO III - RESOLU - PROGRAMA BRASIL ALFABETIZADO,apenas_positivos,0.0,MLP,"(1,1,3)",Ridge(alpha=10.0),"{'C': 100, 'epsilon': 0.1, 'kernel': 'linear'}","{'hidden_layer_sizes': (50,), 'alpha': 0.0001, 'learning_rate_init': 0.01}"
20260527_095838,569004596,CONVÊNIO PAR TERMO DE COMPROMISSO - ROBÓTICA - 1007/2017,apenas_positivos,0.0,LR,"(3,1,1)",Ridge(alpha=0.1),"{'C': 1, 'epsilon': 0.1, 'kernel': 'linear'}","{'hidden_layer_sizes': (50,), 'alpha': 0.0001, 'learning_rate_init': 0.01}"
20260527_095838,569004611,CONVÊNIO PAR TERMO DE COMPROMISSO - 99-3 / 2018 BN - 99-3 / 2018,apenas_positivos,0.0,MLP,"(2,1,0)",Ridge(alpha=10.0),"{'C': 0.1, 'epsilon': 0.01, 'kernel': 'linear'}","{'hidden_layer_sizes': (100, 50), 'alpha': 0.0001, 'learning_rate_init': 0.001}"
20260527_095838,569005039,CONVÊNIO PAR TERMO DE COMPROMISSO - EMENDA PARLAME - 3832-3/2021,apenas_positivos,0.0,ARIMA,"(0,2,2)",Ridge(alpha=0.01),"{'C': 1, 'epsilon': 0.1, 'kernel': 'linear'}","{'hidden_layer_sizes': (50,), 'alpha': 0.01, 'learning_rate_init': 0.001}"
20260527_095838,570003601,CONVÊNIO ARQUIVO PÚBLICO - 9209042/2010,apenas_positivos,0.0,MLP,"(2,1,3)",Ridge(alpha=100.0),"{'C': 0.1, 'epsilon': 0.01, 'kernel': 'linear'}","{'hidden_layer_sizes': (100,), 'alpha': 0.0001, 'learning_rate_init': 0.01}"
20260527_095838,600002083,CONVÊNIO PROGRAMA EXTRA TETO PÓLIO - PORTARIA Nº 1045/04,apenas_positivos,0.0,MLP,"(0,1,1)",Ridge(alpha=100.0),"{'C': 0.1, 'epsilon': 1, 'kernel': 'rbf'}","{'hidden_layer_sizes': (50, 50), 'alpha': 0.001, 'learning_rate_init': 0.001}"
20260527_095838,600002199,CONVÊNIO PROGRAMA AGENTES COMUNITÁRIOS DE SAÚDE -  - PORTARIA Nº 2.474/04,positivos_e_negativos,0.0,MLP,"(0,0,2)",Ridge(alpha=100.0),"{'C': 100, 'epsilon': 0.01, 'kernel': 'rbf'}","{'hidden_layer_sizes': (100, 50), 'alpha': 0.0001, 'learning_rate_init': 0.001}"
20260527_095838,600002345,CONVÊNIO PROGRAMA EXTRA TETO IDOSO/2006 - PORTARIA Nº 1.343/2006,apenas_positivos,0.0,MLP,"(3,0,3)",Ridge(alpha=0.01),"{'C': 1, 'epsilon': 0.1, 'kernel': 'linear'}","{'hidden_layer_sizes': (50, 50), 'alpha': 0.0001, 'learning_rate_init': 0.001}"
20260527_095838,600003885,CONVÊNIO PVVPS - PORTARIA Nº 2.849/2011,apenas_positivos,0.0,SVR,"(2,0,0)",Ridge(alpha=10.0),"{'C': 100, 'epsilon': 0.01, 'kernel': 'linear'}","{'hidden_layer_sizes': (50,), 'alpha': 0.001, 'learning_rate_init': 0.001}"
20260527_095838,600003904,CONVÊNIO VIGILÂNCIA EM SAÚDE - FINLACEN-VISA - PORTARIA MS Nº 2.982/2011,apenas_positivos,0.0,ARIMA,"(1,2,1)",Ridge(alpha=10.0),"{'C': 1, 'epsilon': 0.01, 'kernel': 'linear'}","{'hidden_layer_sizes': (50,), 'alpha': 0.0001, 'learning_rate_init': 0.01}"
20260527_095838,600004296,CONVÊNIO PROFAPS - PORTARIAS Nº 3189,apenas_positivos,0.0,ARIMA,"(1,1,0)",Ridge(alpha=10.0),"{'C': 1, 'epsilon': 0.01, 'kernel': 'linear'}","{'hidden_layer_sizes': (50, 50), 'alpha': 0.001, 'learning_rate_init': 0.01}"
