timestamp,Codigo,Nome,Grupo_Sinal,Melhor_Modelo,Parametros,RMSE_Teste,MAE_Teste,MAPE_Teste_Pct,LB_Pvalor,Lags_Sig_PACF,Metodo_Lags,N_Lags,Ultimo_Real_2025_10,Prev_2025_11,Var_2025_11_pct,Prev_2025_12,Var_2025_12_pct,Prev_2026_01,Var_2026_01_pct,Prev_2026_02,Var_2026_02_pct,Prev_2026_03,Var_2026_03_pct,Prev_2026_04,Var_2026_04_pct,Prev_2026_05,Var_2026_05_pct,Prev_2026_06,Var_2026_06_pct,Prev_2026_07,Var_2026_07_pct,Prev_2026_08,Var_2026_08_pct,Prev_2026_09,Var_2026_09_pct,Prev_2026_10,Var_2026_10_pct
20260527_095838,500000000,RECURSOS NÃO VINCULADOS DE IMPOSTOS,apenas_positivos,SVR,"{'C': 1, 'epsilon': 1, 'kernel': 'rbf'}",298165954.11,251475082.75,9.6336,0.0,"[1, 9]",pacf,9,2395639805.83,2612420148.32,9.05,2622727705.46,0.39,2732703655.1,4.19,2687560023.57,-1.65,2669702613.08,-0.66,2671402791.21,0.06,2640942328.58,-1.14,2644226068.66,0.12,2617007944.29,-1.03,2624449179.96,0.28,2625182876.12,0.03,2631011734.18,0.22
20260527_095838,500410000,RECURSOS NÃO VINCULADOS DE IMPOSTOS - ISS,positivos_e_negativos,ARIMA,"(2,1,1)",921883.21,765474.97,86.3767,0.0,"[1, 3, 6]",pacf,6,2237725.9,1715191.6,-23.35,1829375.42,6.66,1943035.96,6.21,1911561.87,-1.62,1887156.47,-1.28,1895500.55,0.44,1900664.99,0.27,1898515.41,-0.11,1897440.94,-0.06,1897982.45,0.03,1898201.48,0.01,1898067.54,-0.01
20260527_095838,500710000,RECURSOS NÃO VINCULADOS DE IMPOSTOS - TRANSF FES,apenas_positivos,LR,Ridge(alpha=100.0),13390424.68,10209905.54,20.7088,0.0032,"[3, 12]",pacf,12,47953219.16,40480240.61,-15.58,46149263.04,14.0,36476207.43,-20.96,40944146.52,12.25,35934163.87,-12.24,37833532.99,5.29,39321606.25,3.93,40385144.7,2.7,37183952.9,-7.93,41727781.93,12.22,36626509.87,-12.23,40024575.64,9.28
20260527_095838,501020001,OUTROS RECURSOS NÃO VINCULADOS - TCE,positivos_e_negativos,SVR,"{'C': 100, 'epsilon': 0.1, 'kernel': 'linear'}",484865.12,370310.63,15.5432,0.0,"[1, 2, 3]",pacf,3,2896912.92,2867985.46,-1.0,2979016.98,3.87,3097147.08,3.97,3170147.86,2.36,3272944.7,3.24,3377430.32,3.19,3476315.22,2.93,3583290.9,3.08,3692604.72,3.05,3803417.68,3.0,3918258.69,3.02,4036027.08,3.01
20260527_095838,501130201,RECURSOS PRÓPRIOS DA SECRETARIA EXECUTIVA DE RESSOCIALIZAÇÃO - SERES,apenas_positivos,SVR,"{'C': 1, 'epsilon': 0.01, 'kernel': 'linear'}",25.82,21.69,10.9433,0.0,[1],pacf,1,221.47,236.31,6.7,250.56,6.03,264.25,5.46,277.39,4.97,290.01,4.55,302.14,4.18,313.78,3.85,324.96,3.56,335.69,3.3,346.0,3.07,355.9,2.86,365.41,2.67
20260527_095838,501140107,OUTROS RECURSOS NÃO VINCULADOS - CONSERVATÓRIO DE MÚSICA,apenas_positivos,LR,Ridge(alpha=0.01),9427.92,8534.86,71.0487,0.0,"[3, 4, 7, 12]",pacf,12,10960.0,19683.43,79.59,136811.37,595.06,-4873.75,-103.56,21134.08,533.63,15413.58,-27.07,11965.93,-22.37,30735.78,156.86,37193.41,21.01,118448.99,218.47,6490.94,-94.52,506.23,-92.2,8139.17,1507.79
20260527_095838,501150003,OUTROS RECURSOS NÃO VINCULADOS - FEEF,apenas_positivos,MLP,"{'hidden_layer_sizes': (50,), 'alpha': 0.001, 'learning_rate_init': 0.01}",6723085.0,6227327.41,11.996,0.0,[1],pacf,1,57133982.56,59022953.29,3.31,60376133.46,2.29,61251052.2,1.45,61776306.3,0.86,62068917.49,0.47,62231926.81,0.26,62322736.86,0.15,62372984.51,0.08,62400102.89,0.04,62414738.53,0.02,62422637.31,0.01,62426900.23,0.01
20260527_095838,501420341,OUTROS RECURSOS NÃO VINCULADOS - PECONSIG,apenas_positivos,MLP,"{'hidden_layer_sizes': (100,), 'alpha': 0.0001, 'learning_rate_init': 0.01}",12500.36,10981.73,3.2654,0.0,"[1, 2, 3, 4]",pacf,4,346516.2,324681.0,-6.3,329498.48,1.48,325794.41,-1.12,322461.36,-1.02,315122.98,-2.28,315635.88,0.16,311567.25,-1.29,308986.66,-0.83,305207.98,-1.22,304072.83,-0.37,300822.75,-1.07,298879.39,-0.65
20260527_095838,501560801,OUTROS RECURSOS NÃO VINCULADOS - ARENA PERNAMBUCO,positivos_e_negativos,MLP,"{'hidden_layer_sizes': (100, 50), 'alpha': 0.0001, 'learning_rate_init': 0.001}",127763.72,91972.09,53.1175,0.003,[1],pacf,1,310975.24,277340.26,-10.82,262869.33,-5.22,254496.57,-3.19,249173.25,-2.09,245563.33,-1.45,242971.39,-1.06,240986.64,-0.82,239479.96,-0.63,238336.2,-0.48,237467.94,-0.36,236808.82,-0.28,236308.47,-0.21
20260527_095838,501560802,OUTROS RECURSOS NÃO VINCULADOS - CAIS DO SERTÃO,apenas_positivos,MLP,"{'hidden_layer_sizes': (100, 50), 'alpha': 0.001, 'learning_rate_init': 0.001}",29346.73,23648.25,34.357,0.0155,"[2, 12]",pacf,12,96324.02,72291.65,-24.95,78093.57,8.03,77620.09,-0.61,75050.57,-3.31,86708.54,15.53,86843.46,0.16,82217.24,-5.33,77508.66,-5.73,78320.72,1.05,81044.97,3.48,76804.35,-5.23,82135.31,6.94
20260527_095838,501610801,OUTROS RECURSOS NÃO VINCULADOS - MULTAS CPRH,apenas_positivos,MLP,"{'hidden_layer_sizes': (100,), 'alpha': 0.01, 'learning_rate_init': 0.01}",253588.51,101644.0,40.8344,0.004,[1],pacf,1,104818.71,68995.05,-34.18,61364.89,-11.06,58476.61,-4.71,57169.98,-2.23,56482.98,-1.2,56109.24,-0.66,55905.91,-0.36,55795.3,-0.2,55735.12,-0.11,55702.39,-0.06,55684.58,-0.03,55674.89,-0.02
20260527_095838,540000000,TRANSFERÊNCIAS DO FUNDEB - IMPOSTOS E TRANSFERÊNCIAS DE IMPOSTOS,apenas_positivos,ARIMA,"(1,1,1)",45209453.93,35507095.55,10.6032,0.0,"[1, 2]",pacf,2,328241506.53,315343162.85,-3.93,311637284.1,-1.18,310572532.1,-0.34,310266613.61,-0.1,310178718.85,-0.03,310153465.42,-0.01,310146209.76,-0.0,310144125.1,-0.0,310143526.15,-0.0,310143354.06,-0.0,310143304.61,-0.0,310143290.41,-0.0
20260527_095838,550000000,TRANSFERÊNCIA DO SALÁRIO-EDUCAÇÃO,apenas_positivos,ARIMA,"(0,1,2)",5208684.81,2815959.0,9.7699,0.0,"[1, 2]",pacf,2,23654296.48,22544059.01,-4.69,22714466.07,0.76,22714466.07,0.0,22714466.07,0.0,22714466.07,0.0,22714466.07,0.0,22714466.07,0.0,22714466.07,0.0,22714466.07,0.0,22714466.07,0.0,22714466.07,0.0,22714466.07,0.0
20260527_095838,552004599,CONVÊNIO PNAE - MERENDA ESCOLAR 2 -,apenas_positivos,SVR,"{'C': 0.1, 'epsilon': 0.01, 'kernel': 'linear'}",207.99,202.77,980.2566,0.0,"[1, 2, 3, 8]",pacf,8,105.11,156.57,48.95,174.54,11.48,188.29,7.88,207.86,10.39,213.54,2.73,220.55,3.28,229.35,3.99,239.47,4.41,241.98,1.05,245.83,1.59,250.22,1.79,251.86,0.66
20260527_095838,569003619,CONVÊNIO PAR BRASIL PROFISSIONALIZADO INFRAESTRUTU -,apenas_positivos,ARIMA,"(1,1,3)",21152.55,17159.11,15.7874,0.0,"[1, 2, 3, 9]",pacf,9,124181.17,126303.53,1.71,129092.66,2.21,131476.42,1.85,133196.29,1.31,134437.16,0.93,135332.45,0.67,135978.39,0.48,136444.44,0.34,136780.69,0.25,137023.29,0.18,137198.33,0.13,137324.61,0.09
